date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2010-03-15,2361.92,2367.40,2345.99,2362.21,1956170000,2362.21,2085.47,0.13,2189.75,1981.20,2249.82,0.05,2362.31,2137.33,2274.76,0.04,2388.49,2161.02,2193814950.00,-0.11,2303505697.50,2084124202.50,2204565833.33,-0.11,2314794125.00,2094337541.67,2303210500.00,-0.15,2418371025.00,2188049975.00
2010-03-12,2376.07,2376.28,2358.08,2367.66,2098780000,2367.66,2082.29,0.14,2186.40,1978.18,2247.22,0.05,2359.59,2134.86,2265.24,0.05,2378.50,2151.98,2193911550.00,-0.04,2303607127.50,2084215972.50,2200284333.33,-0.05,2310298550.00,2090270116.67,2305334500.00,-0.09,2420601225.00,2190067775.00
2010-03-11,2351.11,2368.46,2347.53,2368.46,2256790000,2368.46,2079.20,0.14,2183.16,1975.24,2244.25,0.06,2356.47,2132.04,2254.21,0.05,2366.92,2141.50,2193105850.00,0.03,2302761142.50,2083450557.50,2191911666.67,0.03,2301507250.00,2082316083.33,2295492000.00,-0.02,2410266600.00,2180717400.00
2010-03-10,2340.95,2361.66,2340.69,2358.95,2554740000,2358.95,2075.86,0.14,2179.66,1972.07,2241.45,0.05,2353.53,2129.38,2243.81,0.05,2356.00,2131.62,2188429750.00,0.17,2297851237.50,2079008262.50,2181772166.67,0.17,2290860775.00,2072683558.33,2282576000.00,0.12,2396704800.00,2168447200.00
2010-03-09,2325.78,2353.07,2325.74,2340.68,2620360000,2340.68,2072.64,0.13,2176.27,1969.01,2238.84,0.05,2350.78,2126.90,2233.08,0.05,2344.73,2121.42,2186361000.00,0.20,2295679050.00,2077042950.00,2169869666.67,0.21,2278363150.00,2061376183.33,2253372000.00,0.16,2366040600.00,2140703400.00
2010-03-08,2326.25,2335.43,2326.11,2332.21,2312310000,2332.21,2069.62,0.13,2173.10,1966.14,2236.18,0.04,2347.99,2124.37,2223.52,0.05,2334.70,2112.35,2186108350.00,0.06,2295413767.50,2076802932.50,2164361166.67,0.07,2272579225.00,2056143108.33,2278311500.00,0.01,2392227075.00,2164395925.00
2010-03-05,2304.01,2327.03,2301.10,2326.35,2411880000,2326.35,2066.66,0.13,2169.99,1963.32,2233.90,0.04,2345.60,2122.21,2213.48,0.05,2324.15,2102.80,2184430900.00,0.10,2293652445.00,2075209355.00,2155479500.00,0.12,2263253475.00,2047705525.00,2297787000.00,0.05,2412676350.00,2182897650.00
2010-03-04,2282.57,2293.16,2273.63,2292.31,2186020000,2292.31,2063.86,0.11,2167.05,1960.66,2232.27,0.03,2343.89,2120.66,2208.41,0.04,2318.83,2097.99,2183617050.00,0.00,2292797902.50,2074436197.50,2157478333.33,0.01,2265352250.00,2049604416.67,2303653500.00,-0.05,2418836175.00,2188470825.00
2010-03-03,2284.82,2293.32,2275.25,2280.68,2603510000,2280.68,2060.85,0.11,2163.90,1957.81,2230.48,0.02,2342.00,2118.96,2203.88,0.03,2314.07,2093.68,2180887000.00,0.19,2289931350.00,2071842650.00,2147447500.00,0.21,2254819875.00,2040075125.00,2296901500.00,0.13,2411746575.00,2182056425.00
2010-03-02,2279.07,2292.49,2275.35,2280.79,2831870000,2280.79,2057.90,0.11,2160.79,1955.00,2228.88,0.02,2340.33,2117.44,2198.40,0.04,2308.32,2088.48,2177540750.00,0.30,2286417787.50,2068663712.50,2134731666.67,0.33,2241468250.00,2027995083.33,2267015000.00,0.25,2380365750.00,2153664250.00
2010-03-01,2247.40,2274.02,2247.33,2273.57,2504940000,2273.57,2054.85,0.11,2157.59,1952.11,2227.25,0.02,2338.62,2115.89,2192.09,0.04,2301.69,2082.48,2176798100.00,0.15,2285638005.00,2067958195.00,2128837666.67,0.18,2235279550.00,2022395783.33,2296297000.00,0.09,2411111850.00,2181482150.00
2010-02-26,2234.44,2242.83,2222.23,2238.26,2283430000,2238.26,2052.24,0.09,2154.85,1949.63,2225.69,0.01,2336.98,2114.41,2189.12,0.02,2298.58,2079.67,2177756700.00,0.05,2286644535.00,2068868865.00,2123881333.33,0.08,2230075400.00,2017687266.67,2323607500.00,-0.02,2439787875.00,2207427125.00
2010-02-25,2208.62,2236.21,2198.73,2234.22,2300530000,2234.22,2049.72,0.09,2152.21,1947.24,2224.10,0.00,2335.30,2112.89,2188.48,0.02,2297.91,2079.06,2178971300.00,0.06,2287919865.00,2070022735.00,2101739000.00,0.09,2206825950.00,1996652050.00,2333225000.00,-0.01,2449886250.00,2216563750.00
2010-02-24,2222.40,2241.69,2221.28,2235.90,2155810000,2235.90,2047.24,0.09,2149.60,1944.88,2223.10,0.01,2334.25,2111.94,2186.87,0.02,2296.22,2077.53,2184223800.00,-0.01,2293434990.00,2075012610.00,2089119000.00,0.03,2193574950.00,1984663050.00,2343497500.00,-0.08,2460672375.00,2226322625.00
2010-02-23,2238.01,2239.80,2205.70,2213.44,2310910000,2213.44,2044.75,0.08,2146.99,1942.51,2222.36,-0.00,2333.48,2111.24,2186.74,0.01,2296.08,2077.40,2189166050.00,0.06,2298624352.50,2079707747.50,2081578666.67,0.11,2185657600.00,1977499733.33,2334669500.00,-0.01,2451402975.00,2217936025.00
2010-02-22,2250.92,2251.68,2235.65,2242.03,1976290000,2242.03,2042.34,0.10,2144.45,1940.22,2221.26,0.01,2332.32,2110.20,2184.90,0.03,2294.15,2075.66,2194117150.00,-0.10,2303823007.50,2084411292.50,2079310000.00,-0.05,2183275500.00,1975344500.00,2376736000.00,-0.17,2495572800.00,2257899200.00
2010-02-19,2233.33,2249.80,2228.93,2243.87,2166660000,2243.87,2039.89,0.10,2141.88,1937.89,2219.63,0.01,2330.61,2108.65,2186.00,0.03,2295.30,2076.70,2195975300.00,-0.01,2305774065.00,2086176535.00,2075911666.67,0.04,2179707250.00,1972116083.33,2412293000.00,-0.10,2532907650.00,2291678350.00
